kod;ust_kod;baslik;metin;sira;seviye;zorunluluk_tipi
ACG-16;AILE-08;Akıllı Sayaçlarda Yasal Uyumluluk;;15;1;
ACG-17;AILE-08;Akıllı Sayaç Mimarisi;;16;1;
ACG-18;AILE-08;Akıllı Sayaç Mimarisi;;17;1;
ACG-19;AILE-08;Akıllı Sayaç Mimarisi;;18;1;
ACG-20;AILE-08;Akıllı Sayaç Mimarisi;;19;1;
ACG-21;AILE-08;Akıllı Sayaçlarda Fiziksel Güvenlik;;20;2;
ACG-22;AILE-08;Akıllı Sayaçlarda Fiziksel Güvenlik;;21;2;
ACG-23;AILE-08;Akıllı Sayaçlarda Fiziksel Güvenlik;;22;;
ACG-24;AILE-08;Akıllı Sayaçlarda Fiziksel Güvenlik;;23;;
ACG-25;AILE-08;Akıllı Sayaçlarda Fiziksel Güvenlik;;24;2;
ACG-26;AILE-08;Akıllı Sayaçlarda Haberleşme Güvenliği;;25;2;
ACG-27;AILE-08;Akıllı Sayaçlarda Haberleşme Güvenliği;;26;2;
ACG-28;AILE-08;Akıllı Sayaçlarda Altyapı Güvenliği;;27;2;
ACG-29;AILE-08;Akıllı Sayaçlarda Altyapı Güvenliği;;28;2;
ACG-30;AILE-08;Akıllı Sayaçlarda Altyapı Güvenliği;;29;2;
ACG-31;AILE-08;Akıllı Sayaçlarda Altyapı Güvenliği;;30;2;
ACG-32;AILE-08;Akıllı Sayaçlarda Altyapı Güvenliği;;31;2;
ACG-33;AILE-08;Akıllı Sayaçlarda Altyapı Güvenliği;;32;2;
ACG-34;AILE-08;Akıllı Sayaçlarda Tehdit ve Zafiyet Yönetimi;;33;1;
ACG-35;AILE-08;Akıllı Sayaçlarda Tehdit ve Zafiyet Yönetimi;;34;2;
ACG-36;AILE-08;El Terminallerinin Güvenliği;;35;2;
ACG-37;AILE-08;El Terminallerinin Güvenliği;;36;2;
ACG-38;AILE-08;El Terminallerinin Güvenliği;;37;2;
ACG-39;AILE-08;El Terminallerinin Güvenliği;;38;2;
ACG-40;AILE-08;El Terminallerinin Güvenliği;;39;2;
ACG-41;AILE-08;İzleme Sistemlerinin Güvenliği;;40;2;
ACG-42;AILE-08;İzleme Sistemlerinin Güvenliği;;41;2;
ACG-43;AILE-08;İzleme Sistemlerinin Güvenliği;;42;2;
ACG-44;AILE-08;İzleme Sistemlerinin Güvenliği;;43;2;
ACG-45;AILE-08;İzleme Sistemlerinin Güvenliği;;44;2;
AILE-09;;Endüstriyel Operasyon Güv;;8;;
EOG-1;AILE-09;Endüstriyel Operasyonlarda Güvenli Konfigürasyon;;0;2;
EOG-2;AILE-09;Endüstriyel Operasyonlarda Güvenli Konfigürasyon;;1;2;
EOG-3;AILE-09;Endüstriyel Operasyonlarda Güvenli Konfigürasyon;;2;2;
EOG-4;AILE-09;Endüstriyel Operasyonlarda Güvenli Konfigürasyon;;3;2;
EOG-5;AILE-09;Endüstriyel Operasyonlarda Güvenli Konfigürasyon;;4;3;
EOG-6;AILE-09;Endüstriyel Operasyonlarda Veri Güvenliği;;5;2;
EOG-7;AILE-09;Endüstriyel Operasyon Güvenliği;;6;2;
EOG-8;AILE-09;Endüstriyel Operasyonlarda Erişim ve Yetkilendirme;;7;2;
EOG-9;AILE-09;Endüstriyel Operasyonlarda Veri Güvenliği;;8;2;
EOG-10;AILE-09;Endüstriyel Operasyonlarda Veri Güvenliği;;9;1;
EOG-11;AILE-09;Endüstriyel Operasyon Güvenliği;;10;2;
EOG-12;AILE-09;Endüstriyel Operasyon Güvenliği;;11;2;
EOG-13;AILE-09;Endüstriyel Operasyon Güvenliği;;12;2;
EOG-14;AILE-09;Endüstriyel Operasyon Güvenliği;;13;3;
EOG-15;AILE-09;Endüstriyel Operasyon Güvenliği;;14;;
EOG-16;AILE-09;Emniyet/Safety Sistemleri;;15;3;
EOG-17;AILE-09;Emniyet/Safety Sistemleri;;16;2;
EOG-18;AILE-09;Emniyet/Safety Sistemleri;;17;;
EOG-19;AILE-09;Emniyet/Safety Sistemleri;;18;3;
EOG-20;AILE-09;Emniyet/Safety Sistemleri;;19;3;
EOG-21;AILE-09;Emniyet/Safety Sistemleri;;20;;
EOG-22;AILE-09;Emniyet/Safety Sistemleri;;21;;
EOG-23;AILE-09;Emniyet/Safety Sistemleri;;22;;
EOG-24;AILE-09;Emniyet/Safety Sistemleri;;23;2;
EOG-25;AILE-09;Emniyet/Safety Sistemleri;;24;2;
EOG-26;AILE-09;Emniyet/Safety Sistemleri;;25;2;
EOG-27;AILE-09;Emniyet/Safety Sistemleri;;26;2;
EOG-28;AILE-09;Emniyet/Safety Sistemleri;;27;2;
AILE-10;;İK Güvenliği;;9;;
İKG-1;AILE-10;İstihdam Öncesi;;0;1;
İKG-2;AILE-10;İstihdam Öncesi;;1;1;
İKG-3;AILE-10;İstihdam Öncesi;;2;1;
İKG-4;AILE-10;İstihdam Öncesi;;3;1;
İKG-5;AILE-10;İstihdam Öncesi;;4;1;
İKG-6;AILE-10;İstihdam Sırasında;;5;1;
İKG-7;AILE-10;İstihdam Sırasında;;6;1;
İKG-8;AILE-10;İstihdam Sırasında;;7;1;
İKG-9;AILE-10;İstihdam Öncesi;;8;1;
İKG-10;AILE-10;İstihdam Sonrası;;9;1;
İKG-11;AILE-10;İstihdam Sonrası;;10;1;
İKG-12;AILE-10;İstihdam Sonrası;;11;1;
İKG-13;AILE-10;İstihdam Sonrası;;12;1;
İKG-14;AILE-10;İstihdam Sonrası;;13;1;
İKG-15;AILE-10;Üçüncü Taraf Güvenliği;;14;1;
İKG-16;AILE-10;Üçüncü Taraf Güvenliği;;15;1;
AILE-11;;Fiziksel Güvenlik;;10;;
FZG-1;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;0;1;
FZG-2;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;1;1;
FZG-3;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;2;1;
FZG-4;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;3;1;
FZG-5;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;4;1;
FZG-6;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;5;1;
FZG-7;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;6;1;
FZG-8;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;7;1;
FZG-9;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;8;1;
FZG-10;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;9;1;
FZG-11;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;10;1;
FZG-12;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;11;1;
FZG-13;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;12;1;
FZG-14;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;13;;
FZG-15;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;14;1;
FZG-16;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;15;;
FZG-17;AILE-11;Elektrik Üretim Yerleşke Güvenliği;;16;;
FZG-18;AILE-11;Kontrol ve DCS Odaları;;17;1;
FZG-19;AILE-11;Kontrol ve DCS Odaları;;18;1;
FZG-20;AILE-11;Kontrol ve DCS Odaları;;19;1;
FZG-21;AILE-11;Kontrol ve DCS Odaları;;20;1;
FZG-22;AILE-11;Kontrol ve DCS Odaları;;21;1;
FZG-23;AILE-11;Kontrol ve DCS Odaları;;22;1;
FZG-24;AILE-11;Kontrol ve DCS Odaları;;23;1;
FZG-25;AILE-11;Kontrol ve DCS Odaları;;24;1;
FZG-26;AILE-11;Kontrol ve DCS Odaları;;25;;
FZG-27;AILE-11;Kontrol ve DCS Odaları;;26;;
FZG-28;AILE-11;Kontrol ve DCS Odaları;;27;;
FZG-29;AILE-11;Kontrol ve DCS Odaları;;28;;
FZG-30;AILE-11;Kontrol ve DCS Odaları;;29;;
FZG-31;AILE-11;Kontrol ve DCS Odaları;;30;;
FZG-32;AILE-11;Kontrol ve DCS Odaları;;31;1;
FZG-33;AILE-11;Kontrol ve DCS Odaları;;32;;
FZG-34;AILE-11;Kontrol ve DCS Odaları;;33;;
FZG-35;AILE-11;Kontrol ve DCS Odaları;;34;;
FZG-36;AILE-11;Kontrol ve DCS Odaları;;35;1;
FZG-37;AILE-11;Kontrol ve DCS Odaları;;36;;
FZG-38;AILE-11;Kontrol ve DCS Odaları;;37;1;
FZG-39;AILE-11;Kontrol ve DCS Odaları;;38;2;
FZG-40;AILE-11;Kontrol ve DCS Odaları;;39;1;
FZG-41;AILE-11;Kontrol ve DCS Odaları;;40;1;
FZG-42;AILE-11;Kontrol ve DCS Odaları;;41;1;
FZG-43;AILE-11;Kontrol ve DCS Odaları;;42;1;
FZG-44;AILE-11;Kontrol ve DCS Odaları;;43;1;
FZG-45;AILE-11;Kontrol ve DCS Odaları;;44;1;
FZG-46;AILE-11;Kontrol ve DCS Odaları;;45;1;
FZG-47;AILE-11;Kontrol ve DCS Odaları;;46;1;
FZG-48;AILE-11;Kontrol ve DCS Odaları;;47;1;
FZG-49;AILE-11;Kontrol ve DCS Odaları;;48;1;
FZG-50;AILE-11;Kontrol ve DCS Odaları;;49;2;
FZG-51;AILE-11;Kontrol ve DCS Odaları;;50;1;
FZG-52;AILE-11;Kontrol ve DCS Odaları;;51;1;
FZG-53;AILE-11;Kontrol ve DCS Odaları;;52;1;
FZG-54;AILE-11;Kontrol ve DCS Odaları;;53;1;
FZG-55;AILE-11;Kontrol ve DCS Odaları;;54;1;
FZG-56;AILE-11;Kontrol ve DCS Odaları;;55;1;
FZG-57;AILE-11;Sunucu Odası veya Veri Merkezi;;56;1;
FZG-58;AILE-11;Sunucu Odası veya Veri Merkezi;;57;1;
FZG-59;AILE-11;Sunucu Odası veya Veri Merkezi;;58;1;
FZG-60;AILE-11;Sunucu Odası veya Veri Merkezi;;59;1;
FZG-61;AILE-11;Sunucu Odası veya Veri Merkezi;;60;1;
FZG-62;AILE-11;Sunucu Odası veya Veri Merkezi;;61;1;
FZG-63;AILE-11;Sunucu Odası veya Veri Merkezi;;62;1;
FZG-64;AILE-11;Sunucu Odası veya Veri Merkezi;;63;1;
FZG-65;AILE-11;Sunucu Odası veya Veri Merkezi;;64;1;
FZG-66;AILE-11;Sunucu Odası veya Veri Merkezi;;65;1;
FZG-67;AILE-11;Sunucu Odası veya Veri Merkezi;;66;1;
FZG-68;AILE-11;Sunucu Odası veya Veri Merkezi;;67;1;
FZG-69;AILE-11;Sunucu Odası veya Veri Merkezi;;68;1;
FZG-70;AILE-11;Sunucu Odası veya Veri Merkezi;;69;1;
FZG-71;AILE-11;Sunucu Odası veya Veri Merkezi;;70;1;
FZG-72;AILE-11;Sunucu Odası veya Veri Merkezi;;71;1;
FZG-73;AILE-11;Sunucu Odası veya Veri Merkezi;;72;1;
FZG-74;AILE-11;Sunucu Odası veya Veri Merkezi;;73;2;
FZG-75;AILE-11;Sunucu Odası veya Veri Merkezi;;74;1;
FZG-76;AILE-11;Sunucu Odası veya Veri Merkezi;;75;1;
FZG-77;AILE-11;Sunucu Odası veya Veri Merkezi;;76;1;
FZG-78;AILE-11;Sunucu Odası veya Veri Merkezi;;77;1;
FZG-79;AILE-11;Sunucu Odası veya Veri Merkezi;;78;1;
FZG-80;AILE-11;Sunucu Odası veya Veri Merkezi;;79;1;
FZG-81;AILE-11;Sunucu Odası veya Veri Merkezi;;80;1;
FZG-82;AILE-11;Sunucu Odası veya Veri Merkezi;;81;1;
FZG-83;AILE-11;Sunucu Odası veya Veri Merkezi;;82;1;
FZG-84;AILE-11;Sunucu Odası veya Veri Merkezi;;83;1;
FZG-85;AILE-11;Sunucu Odası veya Veri Merkezi;;84;1;
FZG-86;AILE-11;Sunucu Odası veya Veri Merkezi;;85;1;
FZG-87;AILE-11;Sunucu Odası veya Veri Merkezi;;86;1;
FZG-88;AILE-11;Sunucu Odası veya Veri Merkezi;;87;1;
FZG-89;AILE-11;Sunucu Odası veya Veri Merkezi;;88;1;
FZG-90;AILE-11;Sunucu Odası veya Veri Merkezi;;89;;
AILE-12;;Tedarikçi Yönetimi;;11;;
TDY-1;AILE-12;Politika, Prosedür, Süreç;;0;1;
TDY-2;AILE-12;Politika, Prosedür, Süreç;;1;1;
TDY-3;AILE-12;Politika, Prosedür, Süreç;;2;1;
TDY-4;AILE-12;Politika, Prosedür, Süreç;;3;1;
TDY-5;AILE-12;Tedarikçi Risk Yönetimi;;4;1;
TDY-6;AILE-12;Tedarikçi Risk Yönetimi;;5;1;
TDY-7;AILE-12;Tedarikçi Risk Yönetimi;;6;1;
TDY-8;AILE-12;Tedarikçi Risk Yönetimi;;7;2;
TDY-9;AILE-12;Tedarikçi Risk Yönetimi;;8;1;
TDY-10;AILE-12;Tedarikçi Risk Yönetimi;;9;2;
TDY-11;AILE-12;Tedarikçi Risk Yönetimi;;10;1;
TDY-12;AILE-12;Tedarikçi Risk Yönetimi;;11;1;
TDY-13;AILE-12;Tedarikçi Risk Yönetimi;;12;1;
TDY-14;AILE-12;Tedarikçi Risk Yönetimi;;13;1;
TDY-15;AILE-12;Tedarikçi Risk Yönetimi;;14;2;
TDY-16;AILE-12;Tedarikçi Risk Yönetimi;;15;1;
TDY-17;AILE-12;Tedarikçi Risk Yönetimi;;16;1;
TDY-18;AILE-12;Tedarikçi Risk Yönetimi;;17;1;
TDY-19;AILE-12;Tedarikçi Risk Yönetimi;;18;2;
TDY-20;AILE-12;Tedarikçi Risk Yönetimi;;19;2;
TDY-21;AILE-12;Tedarikçi Risk Yönetimi;;20;2;
TDY-22;AILE-12;Tedarikçi Risk Yönetimi;;21;2;
TDY-23;AILE-12;Politika, Prosedür, Süreç;;22;1;
TDY-24;AILE-12;Politika, Prosedür, Süreç;;23;1;
TDY-25;AILE-12;Politika, Prosedür, Süreç;;24;1;
TDY-26;AILE-12;Politika, Prosedür, Süreç;;25;1;
TDY-27;AILE-12;Politika, Prosedür, Süreç;;26;1;
TDY-28;AILE-12;Politika, Prosedür, Süreç;;27;1;
TDY-29;AILE-12;Politika, Prosedür, Süreç;;28;1;
TDY-30;AILE-12;Politika, Prosedür, Süreç;;29;1;
AILE-13;;PLC Güvenliği;;12;;
PLC-1;AILE-13;PLC Güvenliği;;0;2;
PLC-2;AILE-13;PLC Güvenliği;;1;2;
PLC-3;AILE-13;PLC Güvenliği;;2;2;
PLC-4;AILE-13;PLC Güvenliği;;3;;
PLC-5;AILE-13;PLC Güvenliği;;4;3;
PLC-6;AILE-13;PLC Güvenliği;;5;3;
PLC-7;AILE-13;PLC Güvenliği;;6;3;
PLC-8;AILE-13;PLC Güvenliği;;7;3;
PLC-9;AILE-13;PLC Güvenliği;;8;3;
PLC-10;AILE-13;PLC Güvenliği;;9;;
PLC-11;AILE-13;PLC Güvenliği;;10;;
PLC-12;AILE-13;PLC Güvenliği;;11;3;
PLC-13;AILE-13;PLC Güvenliği;;12;3;
PLC-14;AILE-13;PLC Güvenliği;;13;3;
PLC-15;AILE-13;PLC Güvenliği;;14;2;
PLC-16;AILE-13;PLC Güvenliği;;15;3;
PLC-17;AILE-13;PLC Güvenliği;;16;3;
PLC-18;AILE-13;PLC Güvenliği;;17;;
PLC-19;AILE-13;PLC Güvenliği;;18;3;
PLC-20;AILE-13;PLC Güvenliği;;19;3;
